Internal ID Variant (Do Not Edit),Category,SKU,Items Name (Do Not Edit),ecommerce item? (Yes/No),Pre-order ? (Yes/No),Processing days,Weight (gm),Length (cm),Width (cm),Height (cm),Condition,Brand Name,Variant name,Basic - Price,Image 1 (for Online Store),Image 2 (for Online Store),Image 3 (for Online Store),Image 4 (for Online Store),Image 5 (for Online Store),Image 6 (for Online Store),Image 7 (for Online Store),Image 8 (for Online Store),Image 9 (for Online Store),Image 10 (for Online Store),Image 11 (for Online Store),Image 12 (for Online Store),Coffeeshop - Price,Barbershop - Price,In Stock,Track Stock,Track Alert,Stock Alert,Track Cost,Cost Amount,Modifier Set - Cashier - 384185
44064223,Coffee,,Cappuccino,No,No,0,,,,,,Unbranded,Hot,,,,,,,,,,,,,,27000,,-1189,Yes,Yes,0,No,,No
44064224,Coffee,,Cappuccino,No,No,0,,,,,,Unbranded,Ice,,,,,,,,,,,,,,27000,,-798,Yes,Yes,0,No,,No
44064253,Coffee,,Cafe Latte,No,No,0,,,,,,Unbranded,Hot,,,,,,,,,,,,,,30000,,-903,Yes,Yes,0,No,,No
44064254,Coffee,,Cafe Latte,No,No,0,,,,,,Unbranded,Ice,,,,,,,,,,,,,,30000,,-876,Yes,Yes,0,No,,No
44064258,Coffee,,Senyawa Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-3193,Yes,Yes,0,Yes,1,No
46437062,Coffee,,Regal Coffee,No,No,0,,,,,,Unbranded,Hot,,,,,,,,,,,,,,30000,,-20,Yes,Yes,0,No,,No
44064278,Coffee,,Regal Coffee,No,No,0,,,,,,Unbranded,Ice,,,,,,,,,,,,,,30000,,-235,Yes,Yes,0,No,,No
44064281,Coffee,,Affogato,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-351,Yes,Yes,0,No,,No
44097657,Coffee,,Hazelnut Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-701,Yes,Yes,0,No,,No
44098738,Coffee,,Lemonade Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-361,Yes,Yes,0,No,,No
44098426,Coffee,,Irish Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-239,Yes,Yes,0,No,,No
44064352,Coffee,,Vietnam Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,25000,,-621,Yes,Yes,0,No,,No
68269292,Tea Base,,Tea in pot,No,No,0,,,,,,Unbranded,Pandan Wangi,,,,,,,,,,,,,,25000,,-37,Yes,Yes,0,No,,No
68269293,Tea Base,,Tea in pot,No,No,0,,,,,,Unbranded,Masala Chai,,,,,,,,,,,,,,25000,,-86,Yes,Yes,0,No,,No
68269294,Tea Base,,Tea in pot,No,No,0,,,,,,Unbranded,Red Velvet Oolong,,,,,,,,,,,,,,25000,,-3,Yes,Yes,0,No,,No
68269295,Tea Base,,Tea in pot,No,No,0,,,,,,Unbranded,Blue Posh,,,,,,,,,,,,,,25000,,-103,Yes,Yes,0,No,,No
68269296,Tea Base,,Tea in pot,No,No,0,,,,,,Unbranded,Footloose,,,,,,,,,,,,,,25000,,-190,Yes,Yes,0,No,,No
70800297,Tea Base,,Tea in pot,No,No,0,,,,,,Unbranded,Chammomile,,,,,,,,,,,,,,25000,,-94,Yes,Yes,0,No,,No
44065757,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Redbox Gentlemen Grooming,105000,,,,,,,,,,,,,,,-7872,Yes,No,0,Yes,28500,No
44131763,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Redbox Fade Cut Grooming,115000,,,,,,,,,,,,,,,-1176,Yes,No,0,Yes,31500,No
44065756,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Redbox Royal Shaving,120000,,,,,,,,,,,,,,,-4,Yes,No,0,Yes,36000,No
44065755,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Redbox Noble Grooming,160000,,,,,,,,,,,,,,,-56,Yes,No,0,Yes,39000,No
44065754,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Redbox Royal Grooming,305000,,,,,,,,,,,,,,,-3,Yes,No,0,Yes,88500,No
44065745,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Tatto Single,35000,,,,,,,,,,,,,,,-2,Yes,No,0,Yes,10500,No
44065746,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Tatto Double Side,65000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,19500,No
44065747,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Tatto Full,100000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,30000,No
44065748,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Traditional Shaving,60000,,,,,,,,,,,,,,,-32,Yes,No,0,Yes,18000,No
44065749,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Beard & Mustache,35000,,,,,,,,,,,,,,,-48,Yes,No,0,Yes,10500,No
44065750,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Wash & Styling,20000,,,,,,,,,,,,,,,-10,Yes,No,0,Yes,6000,No
44065751,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Colouring,125000,,,,,,,,,,,,,,,-237,Yes,No,0,Yes,37500,No
44065752,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Fee Colouring,60000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,18000,No
44065753,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Smooth and Shape,450000,,,,,,,,,,,,,,,-10,Yes,No,0,Yes,135000,No
44065758,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Men Massage Service,135000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,40500,No
44065759,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Nosewax,60000,,,,,,,,,,,,,,,-16,Yes,No,0,Yes,18000,No
44065760,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Earwax,60000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,18000,No
44065761,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Ear Singeing,65000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,19500,No
44065762,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Charcoal Deep Cleansing,95000,,,,,,,,,,,,,,,-20,Yes,No,0,Yes,28500,No
44065763,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Ear Candle,30000,,,,,,,,,,,,,,,-5,Yes,No,0,Yes,9000,No
44065765,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Charcoal Nose Cleansing Strip,55000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,16500,No
44065766,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Creambath,70000,,,,,,,,,,,,,,,-19,Yes,No,0,Yes,21000,No
44065767,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Highlighting,300000,,,,,,,,,,,,,,,-26,Yes,No,0,Yes,90000,No
44065769,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Bleaching,350000,,,,,,,,,,,,,,,-14,Yes,No,0,Yes,105000,No
44065770,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Spa,100000,,,,,,,,,,,,,,,-16,Yes,No,0,Yes,30000,No
47867514,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Home Service Single,200000,,,,,,,,,,,,,,,-44,Yes,No,0,Yes,60000,No
47867515,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Home Service Family,150000,,,,,,,,,,,,,,,-45,Yes,No,0,Yes,45000,No
63497369,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Curly,300000,,,,,,,,,,,,,,,-17,Yes,No,0,Yes,90000,No
71153373,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Wedding Noble Grooming,200000,,,,,,,,,,,,,,,-3,Yes,No,0,Yes,60000,No
71153374,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Wedding Gentleman Grooming,350000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,105000,No
71153375,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Wedding Royal Grooming,1000000,,,,,,,,,,,,,,,-3,Yes,No,0,Yes,225000,No
75534191,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Premium Head Shave,120000,,,,,,,,,,,,,,,-5,Yes,No,0,Yes,36000,No
89536123,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Redbox Duke Grooming,270000,,,,,,,,,,,,,,,-14,Yes,No,0,Yes,78000,No
89536908,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Redbox Baron Grooming,180000,,,,,,,,,,,,,,,-102,Yes,No,0,Yes,51000,No
96092560,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Hair Colouring (Long),250000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,72000,No
204187213,Premium Cutting,,xx1,No,No,0,,,,,,Unbranded,Redbox Gentleman Grooming+,120000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,31500,No
44066271,Hair Cutting,,Premium Cutting,No,No,0,,,,,,Unbranded,,0,,,,,,,,,,,,,,,0,No,No,0,No,,No
44077032,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Gentleman Grooming,110000,,,,,,,,,,,,,,,-13906,Yes,No,0,Yes,28500,No
44131786,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Long Trim Grooming,120000,,,,,,,,,,,,,,,-2539,Yes,No,0,Yes,31500,No
44077030,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Fade Cut Grooming,120000,,,,,,,,,,,,,,,-1144,Yes,No,0,Yes,31500,No
44077023,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Noble Grooming,160000,,,,,,,,,,,,,,,-105,Yes,No,0,Yes,37350,No
44077026,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Baron Grooming,180000,,,,,,,,,,,,,,,-736,Yes,No,0,Yes,49350,No
89537104,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Royal Grooming,305000,,,,,,,,,,,,,,,-252,Yes,No,0,Yes,86850,No
146318566,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Duke Grooming,270000,,,,,,,,,,,,,,,-55,Yes,No,0,Yes,76350,No
154329215,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Royal Shaving,120000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,36000,No
154329216,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Premium Head Shave,120000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,33000,No
154329217,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Beard & Mustache,35000,,,,,,,,,,,,,,,-46,Yes,No,0,Yes,10500,No
154329218,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Traditional Shaving,60000,,,,,,,,,,,,,,,-24,Yes,No,0,Yes,18000,No
154329219,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Wash & Styling,20000,,,,,,,,,,,,,,,-7,Yes,No,0,Yes,6000,No
154329220,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Fee Colouring,60000,,,,,,,,,,,,,,,-9,Yes,No,0,Yes,18000,No
154329221,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Colouring Long Hair,250000,,,,,,,,,,,,,,,-2,Yes,No,0,Yes,72000,No
154329222,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Colouring,150000,,,,,,,,,,,,,,,-126,Yes,No,0,Yes,45000,No
154329223,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Bleaching,350000,,,,,,,,,,,,,,,-6,Yes,No,0,Yes,105000,No
154329224,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Highlighting,300000,,,,,,,,,,,,,,,-3,Yes,No,0,Yes,90000,No
154329225,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Curly,300000,,,,,,,,,,,,,,,-22,Yes,No,0,Yes,90000,No
154329226,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Smooth and Shape,450000,,,,,,,,,,,,,,,-4,Yes,No,0,Yes,135000,No
154329227,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Spa,100000,,,,,,,,,,,,,,,-9,Yes,No,0,Yes,30000,No
154329228,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Creambath,70000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,21000,No
154329229,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Terra Blu Spa,150000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,45000,No
154329230,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Home Service Family,150000,,,,,,,,,,,,,,,-17,Yes,No,0,Yes,45000,No
154329231,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Home Service Single,200000,,,,,,,,,,,,,,,-14,Yes,No,0,Yes,60000,No
154329232,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Down Perm,165000,,,,,,,,,,,,,,,-3,Yes,No,0,Yes,49500,No
154329233,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Root Lift,165000,,,,,,,,,,,,,,,-3,Yes,No,0,Yes,49500,No
154329234,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Wedding Gentleman Grooming,350000,,,,,,,,,,,,,,,-5,Yes,No,0,Yes,105000,No
154329235,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Wedding Royal Grooming Silver,500000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,150000,No
154329236,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Wedding Royal Grooming Gold,750000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,225000,No
